Date,AAPL,MSFT,GOOGL,GLD
2024-01-02,182.45,334.12,139.45,187.23
2024-01-03,183.12,335.22,140.01,186.91
2024-01-04,182.89,334.81,139.88,187.33
2024-01-05,184.10,336.42,140.54,187.72
2024-01-08,183.77,337.08,141.02,188.10
2024-01-09,185.23,338.45,142.03,188.22
2024-01-10,185.91,337.92,141.88,188.35
2024-01-11,186.50,339.08,142.12,188.67
2024-01-12,187.44,340.12,142.98,189.10
2024-01-16,188.21,341.00,143.44,188.91
2024-01-17,187.85,340.72,143.02,188.72
2024-01-18,188.45,341.65,143.65,189.15
2024-01-19,189.12,342.10,144.08,189.47
2024-01-22,190.34,343.22,144.91,189.80
2024-01-23,190.78,344.03,145.21,190.12
2024-01-24,191.15,344.77,145.66,190.47
2024-01-25,191.48,345.22,146.08,190.91
2024-01-26,192.01,346.10,146.55,191.20
2024-01-29,191.84,345.87,146.21,191.03
2024-01-30,192.45,346.55,146.80,191.40
2024-01-31,193.02,347.10,147.22,191.72
2024-02-01,193.55,348.03,147.89,191.95
2024-02-02,194.10,348.81,148.30,192.22
2024-02-05,193.78,348.55,148.02,192.10
2024-02-06,194.12,349.12,148.42,192.43
2024-02-07,195.01,350.33,149.15,192.65
2024-02-08,195.43,351.10,149.68,192.82
2024-02-09,196.00,351.92,150.11,193.01
2024-02-12,195.75,351.55,149.89,192.87
2024-02-13,196.42,352.23,150.55,193.20
2024-02-14,197.05,353.01,151.10,193.45
2024-02-15,197.60,353.78,151.60,193.62
2024-02-16,198.12,354.20,151.92,193.90
